epoch,hit@1,hit@10,hit@20,hit@50,mrr@1,mrr@10,mrr@20,mrr@50,ndcg@1,ndcg@10,ndcg@20,ndcg@50,precision@1,precision@10,precision@20,precision@50,recall@1,recall@10,recall@20,recall@50,train_loss,valid_score
103,0.0728,0.3031,0.4222,0.5821,0.0728,0.131,0.1391,0.1443,0.0728,0.1711,0.201,0.2329,0.0728,0.0303,0.0211,0.0116,0.0728,0.3031,0.4222,0.5821,2384.6051,0.1711
104,0.0702,0.2978,0.4222,0.581,0.0702,0.129,0.1375,0.1426,0.0702,0.1684,0.1997,0.2313,0.0702,0.0298,0.0211,0.0116,0.0702,0.2978,0.4222,0.581,2383.6606,0.1684
105,0.0689,0.3025,0.4215,0.5834,0.0689,0.1294,0.1375,0.1427,0.0689,0.1699,0.1998,0.232,0.0689,0.0302,0.0211,0.0117,0.0689,0.3025,0.4215,0.5834,2383.0586,0.1699
106,0.0679,0.2987,0.4187,0.5826,0.0679,0.1272,0.1354,0.1407,0.0679,0.1673,0.1975,0.2301,0.0679,0.0299,0.0209,0.0117,0.0679,0.2987,0.4187,0.5826,2381.5514,0.1673
107,0.0679,0.3056,0.4204,0.5831,0.0679,0.1292,0.1371,0.1423,0.0679,0.1704,0.1992,0.2316,0.0679,0.0306,0.021,0.0117,0.0679,0.3056,0.4204,0.5831,2380.9181,0.1704
108,0.0694,0.3007,0.4222,0.5866,0.0694,0.1292,0.1375,0.1428,0.0694,0.1693,0.1998,0.2325,0.0694,0.0301,0.0211,0.0117,0.0694,0.3007,0.4222,0.5866,2379.9225,0.1693
109,0.0679,0.3036,0.4207,0.5806,0.0679,0.1277,0.1357,0.1408,0.0679,0.1687,0.1981,0.23,0.0679,0.0304,0.021,0.0116,0.0679,0.3036,0.4207,0.5806,2379.3314,0.1687
110,0.0724,0.302,0.4227,0.5801,0.0724,0.1306,0.1389,0.144,0.0724,0.1706,0.2011,0.2324,0.0724,0.0302,0.0211,0.0116,0.0724,0.302,0.4227,0.5801,2378.4902,0.1706
111,0.0684,0.3015,0.4182,0.5808,0.0684,0.1279,0.1359,0.1411,0.0684,0.1684,0.1978,0.2301,0.0684,0.0301,0.0209,0.0116,0.0684,0.3015,0.4182,0.5808,2377.6745,0.1684
112,0.0679,0.3048,0.419,0.5818,0.0679,0.1297,0.1376,0.1428,0.0679,0.1707,0.1995,0.2319,0.0679,0.0305,0.021,0.0116,0.0679,0.3048,0.419,0.5818,2376.6969,0.1707
